CODE,DOMES,STATION DESCRIPTION,LAT,LONG,HEIGHT
KBRC,40428M002,SANTA PAULA I UN ITED,34.39852778,240.9918056,370.5
KERG,91201M002,Kerguelen TERRIT ORY O,-49.35147222,70.25552778,73
KETG,91201M009,Kerguelen TERRIT ORY O,-49.35219444,70.21791667,47.2
KGLK,40198M001,Kugluktuk CANADA ,67.81777778,244.86525,3.5
KINL,19128M001,Kinlochbervie UN ITED,58.45877778,354.9476667,65
KIR0,10422M001,Kiruna - Esrange SWED,67.87758333,21.06025,498.1
KIR8,10422M002,Kiruna - Esrange SWED,67.87755556,21.06019444,498.1
KIRI,50305M001,BETIO ISLAND - KI RIBAT,1.354583333,172.9228889,34.2
KIRU,10403M002,Kiruna - Jukkasja rvi,67.85736111,20.96844444,391.1
KIT3,12334M001,Kitab UZBEKISTAN ,39.13477778,66.88544444,620.5
KITG,12334M004,Kitab UZBEKISTAN ,39.13338889,66.88675,618.7
KMNM,23608M001,Kinmen TAIWAN ,24.46383333,118.3885833,49.1
KNGV,49103M001,Kingsville - Onta rio,42.02694444,277.2651389,142.4
KOKB,40424M004,Kauai UNITED STA TES O,22.12627778,200.3350556,1167.4
KOKV,40424M004,Kauai UNITED STA TES O,22.12627778,200.3350556,1167.4
KOS1,13504M005,KOOTWIJK THE NED ERLAN,52.17336111,5.818222222,104.8
KOUC,92727S001,Koumac FRANCE ,-20.55869444,164.2873333,84.1
KOUG,97301M402,KOUROU FRANCE ,5.098472222,307.36025,107.2
KOUR,97301M210,KOUROU FRANCE ,5.252194444,307.1940278,-25.8
KRGG,91201M007,Kerguelen TERRIT ORY O,-49.35155556,70.2555,73
KRS1,20816M001,Kars TURKEY ,40.58844444,43.09344444,1811.8
KRTV,25602M001,Kurchatov KAZAKS TAN,50.71394444,78.61908333,126.2
KSNB,43019M001,Steenstrup Nordre Brae,66.86327778,324.4236944,1721
KSU1,49240M001,KSU1_KSUN_KS2006 UNIT,39.10075,263.3905278,325.6
KZN2,12374M001,Kazan Federal Uni versi,55.79077778,49.11925,94.5
LAE1,51002M001,Lae - University of Te,-6.673694444,146.9931944,140.3
LAGO,13903M001,Lagos PORTUGAL ,37.09894444,351.3316389,62.7
LAMA,12209M001,Lamkowko POLAND ,53.89238889,20.66994444,187
LAMP,12706M002,Lampedusa ITALY ,35.49977778,12.60566667,57.8
LAUT,50804M002,LAUTOKA FIJI ,-17.60880556,177.4465833,89.7
